Building Type,Vintage,Location,EUI [kWh/m^2],Floor Area,Equipment Power Density [W/m^2],Wall Area [m^2],Roof Area [m^2],Wall R-Value [m^2-K/W],Roof R-Value [m^2-K/W],Window U-Value [W/m^2-K],Interior Lighting Power Density [W/m^2],Exterior Lighting Power [W],Country,Thermal Zone,Thermal Climate Zone Name,Representative City,Weather Location,HVAC System Type
Apartment High Rise,2004,Albuquerque,192.6194444444444,7836.48,23148.58,3854.98,783.66,0.961921173,2.659574468,3.381,8.5765,14605.1,USA,4B,Mixed Dry,"Albuquerque, NM","Albuquerque International Sunport, New Mexico",15. WSHP
Apartment High Rise,2004,Atlanta,198.2138888888889,7836.48,23148.58,3854.98,783.66,0.842862403,2.659574468,3.381,8.5765,14605.1,USA,3A,Warm Humid,"Atlanta, GA","Atlanta/Hartsfield Jackson International Airport, Georgia",15. WSHP
Apartment High Rise,2004,Buffalo,270.1194444444444,7836.48,23148.58,3854.98,783.66,0.974608439,2.659574468,3.381,8.5765,14605.1,USA,5A,Cool Humid,"Buffalo, NY","Buffalo Niagara International Airport, New York",15. WSHP
Apartment High Rise,2004,Denver,222.5111111111111,7836.48,23148.58,3854.98,783.66,0.974608439,2.659574468,3.381,8.5765,14605.1,USA,5B,Cool Dry,"Denver, CO","Denver/Aurora/Buckley AFB, Colorado",15. WSHP
Apartment High Rise,2004,Dubai,208.9777777777778,7836.48,23148.58,3854.98,783.66,0.666577722,2.659574468,6.998,8.5765,14605.1,International,0B,Extremely Hot Dry,"Dubai, United Arab Emirates","Dubai International Airport, United Arab Emirates",15. WSHP
Apartment High Rise,2004,El Paso,181.3388888888889,7836.48,23148.58,3854.98,783.66,0.842862403,2.659574468,3.381,8.5765,14605.1,USA,3B,Warm Dry,"El Paso, TX","El Paso International Airport, Texas",15. WSHP
Apartment High Rise,2004,Fairbanks,330.6666666666667,7836.48,23148.58,3854.98,783.66,1.047130078,3.533568905,2.629,8.5765,14605.1,USA,8,Subarctic/Arctic,"Fairbanks, AK","Fairbanks International Airport, Alaska",15. WSHP
Apartment High Rise,2004,Great Falls,270.65277777777777,7836.48,26587.74,3854.98,783.66,0.974608439,2.659574468,3.381,8.5765,14605.1,USA,6B,Cold Dry,"Great Falls, MO","Great Falls International Airport, Montana",15. WSHP
Apartment High Rise,2004,Ho Chi Minh,222.03611111111113,7836.48,18333.26,3854.98,783.66,0.666577722,2.659574468,6.998,8.5765,14605.1,International,0A,Extremely Hot Humid,"Ho Chi Minh City, Vietnam","Ho Chi Minh City/Tan Son Nhat Airport, Vietnam",15. WSHP
Apartment High Rise,2004,International Falls,319.35,7836.48,26587.74,3854.98,783.66,0.980680464,2.659574468,3.381,8.5765,14605.1,USA,7,Very Cold,"International Falls, MN","International Falls International Airport, Minnesota",15. WSHP
Apartment High Rise,2004,Miami,192.0583333333333,7836.48,23148.58,3854.98,783.66,0.666577722,2.659574468,6.998,8.5765,14605.1,USA,1A,Very Hot Humid,"Miami, FL","Miami International Airport, Florida",15. WSHP
Apartment High Rise,2004,New Delhi,195.10277777777776,7836.48,23148.58,3854.98,783.66,0.666577722,2.659574468,6.998,8.5765,14605.1,International,1B,Very Hot Dry,"New Delhi, India","New Delhi/Safdarjung Airport, Delhi, India",15. WSHP
Apartment High Rise,2004,New York,236.38611111111112,7836.48,26587.74,3854.98,783.66,0.961921173,2.659574468,3.381,8.5765,14605.1,USA,4A,Mixed Humid,"New York, NY","New York/John F Kennedy International Airport, New York",15. WSHP
Apartment High Rise,2004,Port Angeles,190.3972222222222,7836.48,23148.58,3854.98,783.66,0.974608439,2.659574468,3.381,8.5765,14605.1,USA,5C,Cool Marine,"Port Angeles, WA","Port Angeles/William R Fairchild International Airport, Washington",15. WSHP
Apartment High Rise,2004,Rochester,318.42777777777775,7836.48,5952.75,3854.98,783.66,0.974608439,2.659574468,3.381,8.5765,14605.1,USA,6A,Cold Humid,"Rochester, MN","Rochester International Airport, Minnesota",15. WSHP
Apartment High Rise,2004,San Diego,155.05277777777778,7836.48,18333.26,3854.98,783.66,0.842862403,2.659574468,6.998,8.5765,14605.1,USA,3C,Warm Marine,"San Diego, CA","San Diego/Brown Field Municipal Airport, California",15. WSHP
Apartment High Rise,2004,Seattle,196.08333333333331,7836.48,23148.58,3854.98,783.66,0.961921173,2.659574468,3.381,8.5765,14605.1,USA,4C,Mixed Marine,"Seattle, WA","Seattle-Tacoma International Airport, Washington",15. WSHP
Apartment High Rise,2004,Tampa,190.53055555555554,7836.48,23148.58,3854.98,783.66,0.666577722,2.659574468,6.998,8.5765,14605.1,USA,2A,Hot Humid,"Tampa, FL","Tampa/MacDill AFB, Florida",15. WSHP
Apartment High Rise,2004,Tucson,186.60277777777776,7836.48,23148.58,3854.98,783.66,0.666577722,2.659574468,6.998,8.5765,14605.1,USA,2B,Hot Dry,"Tucson, AZ","Tucson/Davis-Monthan AFB, Arizona",15. WSHP
Apartment High Rise,2007,Albuquerque,184.15555555555557,7836.48,15238.3,3854.98,783.66,0.980680464,3.533568905,2.877,5.0798,14605.1,USA,4B,Mixed Dry,"Albuquerque, NM","Albuquerque International Sunport, New Mexico",15. WSHP
Apartment High Rise,2007,Atlanta,193.92222222222222,7836.48,15238.3,3854.98,783.66,0.974608439,3.533568905,3.593,5.0798,14605.1,USA,3A,Warm Humid,"Atlanta, GA","Atlanta/Hartsfield Jackson International Airport, Georgia",15. WSHP
Apartment High Rise,2007,Buffalo,256.0805555555555,7836.48,15238.3,3854.98,783.66,0.980680464,3.533568905,2.725,5.0798,14605.1,USA,5A,Cool Humid,"Buffalo, NY","Buffalo Niagara International Airport, New York",15. WSHP
Apartment High Rise,2007,Denver,210.48055555555555,7836.48,15238.3,3854.98,783.66,0.980680464,3.533568905,2.725,5.0798,14605.1,USA,5B,Cool Dry,"Denver, CO","Denver/Aurora/Buckley AFB, Colorado",15. WSHP
Apartment High Rise,2007,Dubai,201.725,7836.48,15238.3,3854.98,783.66,0.666577722,3.422123566,6.813,5.0798,14605.1,International,0B,Extremely Hot Dry,"Dubai, United Arab Emirates","Dubai International Airport, United Arab Emirates",15. WSHP
Apartment High Rise,2007,El Paso,174.06666666666666,7836.48,15238.3,3854.98,783.66,0.974608439,3.533568905,3.593,5.0798,14605.1,USA,3B,Warm Dry,"El Paso, TX","El Paso International Airport, Texas",15. WSHP
Apartment High Rise,2007,Fairbanks,314.83333333333337,7836.48,6550.93,3854.98,783.66,1.206531005,3.533568905,2.356,5.0798,14605.1,USA,8,Subarctic/Arctic,"Fairbanks, AK","Fairbanks International Airport, Alaska",15. WSHP
Apartment High Rise,2007,Great Falls,255.1472222222222,7836.48,17212.63,3854.98,783.66,0.980680464,3.533568905,2.725,5.0798,14605.1,USA,6B,Cold Dry,"Great Falls, MO","Great Falls International Airport, Montana",15. WSHP
Apartment High Rise,2007,Ho Chi Minh,214.17777777777775,7836.48,12473.94,3854.98,783.66,0.666577722,3.422123566,6.813,5.0798,14605.1,International,0A,Extremely Hot Humid,"Ho Chi Minh City, Vietnam","Ho Chi Minh City/Tan Son Nhat Airport, Vietnam",15. WSHP
Apartment High Rise,2007,International Falls,290.85555555555555,7836.48,17212.63,3854.98,783.66,1.158165731,3.533568905,2.356,5.0798,14605.1,USA,7,Very Cold,"International Falls, MN","International Falls International Airport, Minnesota",15. WSHP
Apartment High Rise,2007,Miami,185.15833333333333,7836.48,15238.3,3854.98,783.66,0.666577722,3.422123566,6.813,5.0798,14605.1,USA,1A,Very Hot Humid,"Miami, FL","Miami International Airport, Florida",15. WSHP
Apartment High Rise,2007,New Delhi,188.65555555555554,7836.48,12473.94,3854.98,783.66,0.666577722,3.422123566,6.813,5.0798,14605.1,International,1B,Very Hot Dry,"New Delhi, India","New Delhi/Safdarjung Airport, Delhi, India",15. WSHP
Apartment High Rise,2007,New York,225.90555555555554,7836.48,15238.3,3854.98,783.66,0.980680464,3.533568905,2.877,5.0798,14605.1,USA,4A,Mixed Humid,"New York, NY","New York/John F Kennedy International Airport, New York",15. WSHP
Apartment High Rise,2007,Port Angeles,179.65833333333333,7836.48,15238.3,3854.98,783.66,0.980680464,3.533568905,2.725,5.0798,14605.1,USA,5C,Cool Marine,"Port Angeles, WA","Port Angeles/William R Fairchild International Airport, Washington",15. WSHP
Apartment High Rise,2007,Rochester,301.5472222222222,7836.48,5366.61,3854.98,783.66,0.980680464,3.533568905,2.725,5.0798,14605.1,USA,6A,Cold Humid,"Rochester, MN","Rochester International Airport, Minnesota",15. WSHP
Apartment High Rise,2007,San Diego,139.74166666666667,7836.48,15238.3,3854.98,783.66,0.974608439,3.533568905,3.593,5.0798,14605.1,USA,3C,Warm Marine,"San Diego, CA","San Diego/Brown Field Municipal Airport, California",15. WSHP
Apartment High Rise,2007,Seattle,187.13055555555553,7836.48,15238.3,3854.98,783.66,0.980680464,3.533568905,2.877,5.0798,14605.1,USA,4C,Mixed Marine,"Seattle, WA","Seattle-Tacoma International Airport, Washington",15. WSHP
Apartment High Rise,2007,Tampa,177.55277777777778,7836.48,15238.3,3854.98,783.66,0.961921173,3.533568905,4.16,5.0798,14605.1,USA,2A,Hot Humid,"Tampa, FL","Tampa/MacDill AFB, Florida",15. WSHP
Apartment High Rise,2007,Tucson,171.3111111111111,7836.48,15238.3,3854.98,783.66,0.961921173,3.533568905,4.16,5.0798,14605.1,USA,2B,Hot Dry,"Tucson, AZ","Tucson/Davis-Monthan AFB, Arizona",15. WSHP
Apartment High Rise,2010,Albuquerque,172.7277777777778,7836.48,15341.34,3854.98,783.66,0.980680464,3.533568905,2.877,5.1581,11745.11,USA,4B,Mixed Dry,"Albuquerque, NM","Albuquerque International Sunport, New Mexico",15. WSHP
Apartment High Rise,2010,Atlanta,178.875,7836.48,15341.34,3854.98,783.66,0.974608439,3.533568905,3.593,5.1581,11745.11,USA,3A,Warm Humid,"Atlanta, GA","Atlanta/Hartsfield Jackson International Airport, Georgia",15. WSHP
Apartment High Rise,2010,Buffalo,224.29444444444445,7836.48,15341.34,3854.98,783.66,0.980680464,3.533568905,2.725,5.1581,11745.11,USA,5A,Cool Humid,"Buffalo, NY","Buffalo Niagara International Airport, New York",15. WSHP
Apartment High Rise,2010,Denver,193.91111111111113,7836.48,15341.34,3854.98,783.66,0.980680464,3.533568905,2.725,5.1581,11745.11,USA,5B,Cool Dry,"Denver, CO","Denver/Aurora/Buckley AFB, Colorado",15. WSHP
Apartment High Rise,2010,Dubai,192.4722222222222,7836.48,12576.99,3854.98,783.66,0.666577722,3.422123566,6.813,5.1581,11745.11,International,0B,Extremely Hot Dry,"Dubai, United Arab Emirates","Dubai International Airport, United Arab Emirates",15. WSHP
Apartment High Rise,2010,El Paso,164.6472222222222,7836.48,15341.34,3854.98,783.66,0.974608439,3.533568905,3.593,5.1581,11745.11,USA,3B,Warm Dry,"El Paso, TX","El Paso International Airport, Texas",15. WSHP
Apartment High Rise,2010,Fairbanks,290.9972222222222,7836.48,15341.34,3854.98,783.66,1.206531005,3.533568905,2.356,5.1581,11745.11,USA,8,Subarctic/Arctic,"Fairbanks, AK","Fairbanks International Airport, Alaska",15. WSHP
Apartment High Rise,2010,Great Falls,226.0638888888889,7836.48,17315.67,3854.98,783.66,0.980680464,3.533568905,2.725,5.1581,11745.11,USA,6B,Cold Dry,"Great Falls, MO","Great Falls International Airport, Montana",15. WSHP
Apartment High Rise,2010,Ho Chi Minh,205.00277777777777,7836.48,12576.99,3854.98,783.66,0.666577722,3.422123566,6.813,5.1581,11745.11,International,0A,Extremely Hot Humid,"Ho Chi Minh City, Vietnam","Ho Chi Minh City/Tan Son Nhat Airport, Vietnam",15. WSHP
Apartment High Rise,2010,International Falls,258.79166666666663,7836.48,17315.67,3854.98,783.66,1.158165731,3.533568905,2.356,5.1581,11745.11,USA,7,Very Cold,"International Falls, MN","International Falls International Airport, Minnesota",15. WSHP
Apartment High Rise,2010,Miami,177.43888888888887,7836.48,15341.34,3854.98,783.66,0.666577722,3.422123566,6.813,5.1581,11745.11,USA,1A,Very Hot Humid,"Miami, FL","Miami International Airport, Florida",15. WSHP
Apartment High Rise,2010,New Delhi,182.02777777777777,7836.48,15341.34,3854.98,783.66,0.666577722,3.422123566,6.813,5.1581,11745.11,International,1B,Very Hot Dry,"New Delhi, India","New Delhi/Safdarjung Airport, Delhi, India",15. WSHP
Apartment High Rise,2010,New York,201.54444444444442,7836.48,15341.34,3854.98,783.66,0.980680464,3.533568905,2.877,5.1581,11745.11,USA,4A,Mixed Humid,"New York, NY","New York/John F Kennedy International Airport, New York",15. WSHP
Apartment High Rise,2010,Port Angeles,169.04722222222225,7836.48,15341.34,3854.98,783.66,0.980680464,3.533568905,2.725,5.1581,11745.11,USA,5C,Cool Marine,"Port Angeles, WA","Port Angeles/William R Fairchild International Airport, Washington",15. WSHP
Apartment High Rise,2010,Rochester,260.5138888888889,7836.48,12576.99,3854.98,783.66,0.980680464,3.533568905,2.725,5.1581,11745.11,USA,6A,Cold Humid,"Rochester, MN","Rochester International Airport, Minnesota",15. WSHP
Apartment High Rise,2010,San Diego,133.87777777777777,7836.48,15341.34,3854.98,783.66,0.974608439,3.533568905,3.593,5.1581,11745.11,USA,3C,Warm Marine,"San Diego, CA","San Diego/Brown Field Municipal Airport, California",15. WSHP
